Français;Anglais;Espagnol;Allemand
Bonjour;Hello;Hola;Hallo
Merci;Thank you;Gracias;Danke
Amour;Love;Amor;Liebe
Chat;Cat;Gato;Katze
Chien;Dog;Perro;Hund
Maison;House;Casa;Haus
Voiture;Car;Coche;Auto
ecole;School;Escuela;Schule
Livre;Book;Libro;Buch
Pomme;Apple;Manzana;Apfel
Eau;Water;Agua;Wasser
Soleil;Sun;Sol;Sonne
Lune;Moon;Luna;Mond
ete;Summer;Verano;Sommer
Hiver;Winter;Invierno;Winter
Printemps;Spring;Primavera;Frühling
Automne;Fall;Otono;Herbst
Neige;Snow;Nieve;Schnee
Pluie;Rain;Lluvia;Regen
Vent;Wind;Viento;Wind
Temps;Time;Tiempo;Zeit
Jour;Day;Día;Tag
Nuit;Night;Noche;Nacht
Heure;Hour;Hora;Stunde
Minute;Minute;Minuto;Minute
Seconde;Second;Segundo;Sekunde
Ville;City;Ciudad;Stadt
Village;Village;Pueblo;Dorf
Pays;Country;País;Land
Montagne;Mountain;Montana;Berg
Mer;Sea;Mar;Meer
Rivière;River;Río;Fluss
Lac;Lake;Lago;See
Forêt;Forest;Bosque;Wald
Arbre;Tree;arbol;Baum
Fleur;Flower;Flor;Blume
Jardin;Garden;Jardín;Garten
Route;Road;Carretera;Straße
Rue;Street;Calle;Straße
Voie;Lane;Callejón;Gasse
Pont;Bridge;Puente;Brücke
Bateau;Boat;Barco;Boot
Avion;Plane;Avión;Flugzeug
Train;Train;Tren;Zug
Bus;Bus;Autobús;Bus
Velo;Bicycle;Bicicleta;Fahrrad
Moto;Motorcycle;Motocicleta;Motorrad
Travail;Work;Trabajo;Arbeit
Employe;Employee;Empleado;Angestellter
Patron;Boss;Jefe;Chef
Vendeur;Seller;Vendedor;Verkäufer
Client;Customer;Cliente;Kunde
Bureau;Office;Oficina;Büro
Ordinateur;Computer;Computadora;Computer
Telephone;Phone;Telefono;Telefon
Tablette;Tablet;Tableta;Tablet
Internet;Internet;Internet;Internet
Email;Email;Correo electrónico;E-Mail
Lettre;Letter;Carta;Brief
Timbre;Stamp;Sello;Briefmarke
Boîte;Box;Caja;Kasten
Cadeau;Gift;Regalo;Geschenk
Anniversaire;Birthday;Cumpleanos;Geburtstag
Fête;Party;Fiesta;Party
Mariage;Wedding;Boda;Hochzeit
Naissance;Birth;Nacimiento;Geburt
Mort;Death;Muerte;Tod
Ami;Friend;Amigo;Freund
Enfant;Child;Nino;Kind
Adulte;Adult;Adulto;Erwachsener
Femme;Woman;Mujer;Frau
Homme;Man;Hombre;Mann
Fille;Girl;Nina;Mädchen
Garçon;Boy;Nino;Junge
Mère;Mother;Madre;Mutter
Père;Father;Padre;Vater
Frère;Brother;Hermano;Bruder
Sœur;Sister;Hermana;Schwester
Oncle;Uncle;Tío;Onkel
Tante;Aunt;Tía;Tante
Cousin;Cousin;Primo;Cousin
Grand-mère;Grandmother;Abuela;Großmutter
Grand-père;Grandfather;Abuelo;Großvater
Chaud;Hot;Caliente;Heiß
Froid;Cold;Frío;Kalt
Doux;Sweet;Dulce;Süß
Amer;Bitter;Amargo;Bitter
Sale;Salty;Salado;Salzig
Acide;Sour;Agrio;Sauer
Beau;Beautiful;Hermoso;Schön
Moche;Ugly;Feo;Hässlich
Grand;Big;Grande;Groß
Petit;Small;Pequeno;Klein
Long;Long;Largo;Lang
Court;Short;Corto;Kurz
Lourd;Heavy;Pesado;Schwer
Leger;Light;Ligero;Leicht
Rapide;Fast;Rapido;Schnell
Lent;Slow;Lento;Langsam
Heureux;Happy;Feliz;Glücklich
Triste;Sad;Triste;Traurig
Facile;Easy;Facil;Einfach
Difficile;Difficult;Difícil;Schwierig
Fort;Strong;Fuerte;Stark
Faible;Weak;Debil;Schwach
Lumière;Light;Luz;Licht
Ombre;Shadow;Sombra;Schatten
Clair;Clear;Claro;Klar
Sombre;Dark;Oscuro;Dunkel
Propre;Clean;Limpio;Sauber
Sale;Dirty;Sucio;Schmutzig
Nouveau;New;Nuevo;Neu
Vieux;Old;Viejo;Alt
Jeune;Young;Joven;Jung
Âge;Old;Viejo;Alt
Fort;Loud;Ruidoso;Laut
Silencieux;Quiet;Tranquilo;Leise
Sec;Dry;Seco;Trocken
Humide;Wet;Mojado;Nass
Correct;Right;Correcto;Richtig
Incorrect;Wrong;Incorrecto;Falsch
Verite;Truth;Verdad;Wahrheit
Mensonge;Lie;Mentira;Lüge
Riche;Rich;Rico;Reich
Pauvre;Poor;Pobre;Arm
Large;Wide;Ancho;Breit
etroit;Narrow;Estrecho;Schmal
Haut;High;Alto;Hoch
Bas;Low;Bajo;Niedrig
Dur;Hard;Duro;Hart
Mou;Soft;Suave;Weich
Rond;Round;Redondo;Rund
Carre;Square;Cuadrado;Quadrat
Bon;Good;Bueno;Gut
Mauvais;Bad;Malo;Schlecht
Fort;Strong;Fuerte;Stark
Faible;Weak;Debil;Schwach
Gauche;Left;Izquierda;Links
Droite;Right;Derecha;Rechts
Longueur;Length;Longitud;Länge
Largeur;Width;Anchura;Breite
Hauteur;Height;Altura;Höhe
Profondeur;Depth;Profundidad;Tiefe
Terre;Earth;Tierra;Erde
Ciel;Sky;Cielo;Himmel
Feu;Fire;Fuego;Feuer
Eau;Water;Agua;Wasser
Air;Air;Aire;Luft
Vent;Wind;Viento;Wind
Roche;Rock;Roca;Felsen
Sable;Sand;Arena;Sand
Neige;Snow;Nieve;Schnee
Glace;Ice;Hielo;Eis
Tempête;Storm;Tormenta;Sturm
Pluie;Rain;Lluvia;Regen
Nuage;Cloud;Nube;Wolke
Foudre;Lightning;Relampago;Blitz
eclair;Flash;Destello;Blitz
Tonnerre;Thunder;Trueno;Donner
Planète;Planet;Planeta;Planet
etoile;Star;Estrella;Stern
Galaxie;Galaxy;Galaxia;Galaxie
Univers;Universe;Universo;Universum
Soleil;Sun;Sol;Sonne
Lune;Moon;Luna;Mond
Mars;Mars;Marte;Mars
Venus;Venus;Venus;Venus
Jupiter;Jupiter;Júpiter;Jupiter
Saturne;Saturn;Saturno;Saturn
Uranus;Uranus;Urano;Uranus
Neptune;Neptune;Neptuno;Neptun
Pluton;Pluto;Plutón;Pluto
Astronaute;Astronaut;Astronauta;Astronaut
Satellite;Satellite;Satelite;Satellit
Comète;Comet;Cometa;Komet
Meteorite;Meteorite;Meteorito;Meteorit
Telescope;Telescope;Telescopio;Teleskop
Mecanique;Mechanic;Mecanico;Mechaniker
Ingenieur;Engineer;Ingeniero;Ingenieur
Architecte;Architect;Arquitecto;Architekt
Constructeur;Builder;Constructor;Bauherr
Pilote;Pilot;Piloto;Pilot
Conducteur;Driver;Conductor;Fahrer
Chirurgien;Surgeon;Cirujano;Chirurg
Medecin;Doctor;Doctor;Arzt
